alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.01,100,elasticnet,Test,0.16,0.14,0.16,0.14,0.14,0.17,0.14,0.14,0.14,0.14
0.01,500,l2,Train,0.14,0.17,0.14,0.17,0.17,0.14,0.14,0.17,0.14,0.14
0.01,500,l2,Test,0.14,0.16,0.14,0.11,0.13,0.14,0.14,0.19,0.14,0.14
0.01,500,l1,Train,0.24,0.23,0.2,0.14,0.22,0.18,0.15,0.14,0.14,0.28
0.01,500,l1,Test,0.21,0.2,0.23,0.14,0.17,0.14,0.14,0.14,0.14,0.24
0.01,500,elasticnet,Train,0.14,0.19,0.16,0.14,0.14,0.14,0.16,0.17,0.14,0.17
0.01,500,elasticnet,Test,0.14,0.17,0.14,0.14,0.14,0.14,0.14,0.19,0.14,0.13
0.01,1000,l2,Train,0.14,0.14,0.14,0.14,0.16,0.17,0.16,0.14,0.14,0.14
0.01,1000,l2,Test,0.14,0.14,0.14,0.14,0.13,0.16,0.16,0.14,0.14,0.14
0.01,1000,l1,Train,0.28,0.14,0.14,0.22,0.21,0.16,0.14,0.28,0.29,0.18
0.01,1000,l1,Test,0.24,0.16,0.14,0.19,0.21,0.14,0.14,0.27,0.29,0.2
0.01,1000,elasticnet,Train,0.14,0.17,0.19,0.14,0.15,0.14,0.14,0.14,0.14,0.17
0.01,1000,elasticnet,Test,0.14,0.19,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.17
