0.001,1000,l1,Test,0.21,0.24,0.31,0.15,0.23,0.27,0.22,0.21,0.25,0.29
0.001,1000,elasticnet,Train,0.17,0.25,0.17,0.15,0.23,0.14,0.19,0.28,0.14,0.17
0.001,1000,elasticnet,Test,0.15,0.26,0.15,0.15,0.19,0.14,0.19,0.28,0.14,0.17
0.01,100,l2,Train,0.14,0.14,0.18,0.18,0.14,0.14,0.14,0.14,0.15,0.14
0.01,100,l2,Test,0.14,0.14,0.21,0.17,0.14,0.14,0.14,0.14,0.14,0.14
0.01,100,l1,Train,0.16,0.27,0.17,0.25,0.25,0.21,0.22,0.17,0.21,0.16
0.01,100,l1,Test,0.18,0.31,0.15,0.29,0.28,0.19,0.22,0.19,0.2,0.15
0.01,100,elasticnet,Train,0.14,0.14,0.14,0.2,0.14,0.16,0.14,0.16,0.14,0.14
0.01,100,elasticnet,Test,0.14,0.14,0.14,0.19,0.14,0.17,0.14,0.17,0.15,0.14
0.01,500,l2,Train,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.18,0.16
0.01,500,l2,Test,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.19,0.15
0.01,500,l1,Train,0.3,0.26,0.15,0.22,0.2,0.15,0.19,0.21,0.27,0.29
0.01,500,l1,Test,0.27,0.26,0.15,0.27,0.23,0.15,0.18,0.22,0.25,0.33
0.01,500,elasticnet,Train,0.14,0.14,0.14,0.14,0.17,0.14,0.14,0.15,0.14,0.16
0.01,500,elasticnet,Test,0.14,0.14,0.13,0.14,0.18,0.14,0.14,0.15,0.14,0.19
0.01,1000,l2,Train,0.14,0.19,0.14,0.16,0.14,0.14,0.14,0.14,0.14,0.14
0.01,1000,l2,Test,0.14,0.17,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14
0.01,1000,l1,Train,0.24,0.24,0.25,0.3,0.22,0.19,0.24,0.17,0.28,0.21
0.01,1000,l1,Test,0.23,0.23,0.24,0.33,0.23,0.21,0.23,0.19,0.29,0.23
0.01,1000,elasticnet,Train,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.18,0.14,0.17
0.01,1000,elasticnet,Test,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.14,0.15
